Rating,Set,Classification,Soundcloud,Youtube
ð??¥ð??¥ð??¥,80s Pop Club Mix at a School Prom | Tinzo,Pop Edits & Party Remixes,https://soundcloud.com/john-kang-23/80s-pop-club-mix-at-a-school?si=33908c99d22b4f8192d12d9f2ad5daca&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/3X69i0XIY-s?si=B1k2QNp_nsjssErn
,"Above & Beyond in Guatape, Colombia for Cercle",Trance & High Energy Rave,https://soundcloud.com/cerclelive/aab-44100-16bit-mastered?si=15332eb9373a46d585e9f8ff970e56b9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/MEzU1HvBo6Y?si=LplzDMKxInDMLgLf
,Adriatique @ Signal 2108 Alpe d'Huez for Cercle,Melodic House & Techno,https://m.soundcloud.com/cerclelive/adriatique-signal-2108-for-cercle,https://www.youtube.com/watch?v=CQZYzGO8QlM
,ADRIATIQUE & MAGDALENA @ Diynamic ADE showcase,Melodic House & Techno,,https://www.youtube.com/live/HnPBM54A9O0?si=zNW9yCGI3ZeV_4wd
,"Adriatique at Hatshepsut temple, in Luxor, Egypt for Cercle",Melodic House & Techno,https://soundcloud.com/user7801532/adriatique-live-hatshepsut,https://youtu.be/w4LRUBFy3pc?si=2R-n0C3ahsIGNJmx
,Adriatique Boiler Room Tulum DJ Set,Melodic House & Techno,https://m.soundcloud.com/manafalwan/adriatique-boiler-room-tulum-dj-set,https://youtu.be/xSH84m5ktUw?si=fYmu0hzAEA1BdOHk
,Alan Fitzpatrick b2b Skream in The Lab LDN 2.0,Hard & Driving Techno,,https://youtu.be/Pe0uSuUSibc?si=ldCOJwAXyCtVdD2k
,ALAN FITZPATRICK quality techno DJ set in The Lab LDN,Hard & Driving Techno,,https://www.youtube.com/live/lGoKT49lUEU?si=AtNSSEC4bQjNJcb3
,AndrÃ© dancekowski | HÃ?R - November 6 / 2023,Minimal & Deep House,https://soundcloud.com/andredancekowski/hor-november-6-2023,https://www.youtube.com/live/7CXp2EaRaIU?si=qMvU65H49DxZhbW9
,Angel D'lite Live @ Lofi Amsterdam 4 Festimi 22.07.23,Trance & High Energy Rave,https://soundcloud.com/angeldlite/angel-dlite-live-lofi-amsterdam-festimi?si=3020b974468740ed970a9bff50435212&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,
,Anja Schneider Boiler Room Berlin DJ Set,Minimal & Deep House,https://soundcloud.com/platform/anja-schneider?si=17e9103ded0140a2bac343deeef4dad7&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/VPLpg1kzamo?si=gfUWv7AlB23iWJoM
,"ARTBAT at Bondinho PÃ£o de AÃ§Ãºcar in Rio de Janeiro, Brazil for Cercle",Melodic House & Techno,https://soundcloud.com/artbatmusic/artbat-cercle-2019-bondinho-pao-de-acucar-in-rio-de-janeiro-brazil?si=5c5f762b3b634b30b36870851c6ddba5&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/hENgrbIMiy4?si=BKYnvrOa6w-ztT_R
,Baba Stiltz Boiler Room Sugar Mountain Melbourne DJ Set,Minimal & Deep House,https://soundcloud.com/platform/honey-dijon-boiler-room-sugar-mountain-melbourne-dj-set?si=efee2311021d492e8bf7242d69f840ad&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/2lHwVx-TL4Y?si=t0USbpJXAUUIlgjF
,Barry Can't Swim Live From O2 Academy Brixton,Disco & Funky House,,https://youtu.be/LHWGyc-rTRE?si=_YpjAwlIML27R5U9
,"Be Svendsen live at Mount Nemrut, in TÃ¼rkiye for Cercle",Chill & Organic Electronica,https://m.soundcloud.com/enis-boztepe/be-svendsen-live-at-mount-nemrut-in-turkiye-for-cercle,https://youtu.be/5mpafLYHVd0?si=RPP0_JhCTiWV7Qq5
,Be Svendsen Live on Icarus - Burning Man 2016,Chill & Organic Electronica,https://soundcloud.com/besvendsen/be-svendsen-live-icarus-burning-man-2016?si=5290f6aba61d4499a0011611a434e6ce&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/2CJXdQNa0pQ?si=fp3o3ErK2tLr8ov1
,Bella Claxton Live @ A3 Festival Sunday 1.12.24 (Party Pumpers Mix),Trance & High Energy Rave,https://soundcloud.com/bellaclaxton/bella-claxton-live-a3-festival-sunday-party-pumpers-mix,https://youtu.be/ktzRff_xATM?si=dQYhcnxdU7duVjDw
